SA_PUB2022,need_percentile,no_car_rate,employment_quadrant,ED_ENGLISH,COUNTY_ENGLISH,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min,hospital_access_percentile,hospital_severity,hospital_quadrant,school_access_percentile,school_severity,school_quadrant,university_access_percentile,university_severity,university_quadrant,is_employment_desert,is_hospital_desert,is_school_desert,is_university_desert,n_desert_categories
267124003,0.1714372716199756,0.0485436893203883,Low-priority gap,STILLORGAN-DEERPARK,DUN LAOGHAIRE/RATHDOWN,566457904,27.91057,5.862080000000001,21.106426666666657,0.21396670726755984,-0.04252943564758424,Low-priority gap,0.7320341047503045,-0.5605968331303289,"Well-served, low-need",0.3848964677222899,-0.2134591961023143,Low-priority gap,False,False,False,False,0
267010004,0.1794559480308566,0.0505050505050505,Low-priority gap,BALLINTEER-MARLEY,DUN LAOGHAIRE/RATHDOWN,7794371309,23.056210574712647,4.649053333333333,24.32789333333333,0.3672350791717418,-0.1877791311408852,Low-priority gap,0.8331303288672351,-0.6536743808363785,"Well-served, low-need",0.29009338205440516,-0.11063743402354856,Low-priority gap,False,False,False,False,0
267116010,0.4789890377588306,0.1463414634146341,Low-priority gap,RATHFARNHAM-St. ENDA'S,SOUTH DUBLIN,8332477325,25.22706666666668,9.55132,28.63913913043479,0.2858302882663418,0.1931587494924888,Low-priority gap,0.4031668696711328,0.07582216808769782,Low-priority gap,0.1751928542427933,0.3037961835160373,Low-priority gap,False,False,False,False,0
267068001,0.5300446609825417,0.1692307692307692,Transit Desert,DUN LAOGHAIRE-GLASTHULE,DUN LAOGHAIRE/RATHDOWN,667939546,25.6879987878788,4.889813333333333,19.64005025641025,0.2689809175801867,0.26106374340235494,Transit Desert,0.8144539179861957,-0.28440925700365405,"Well-served, high-need",0.43321153065367435,0.09683313032886731,Transit Desert,True,True,False,True,3
268129025,0.5757206658546488,0.1914893617021276,"Well-served, high-need",RATHMINES EAST B,DUBLIN CITY,8843274788,12.485226078431372,8.8743715942029,8.269212745098041,0.8164839626471783,-0.2407632967925295,"Well-served, high-need",0.46122614697523345,0.11449451887941531,Transit Desert,0.8542427933414535,-0.2785221274868047,"Well-served, high-need",False,False,True,False,1
268105016/02,0.9885302476654486,0.6666666666666666,"Well-served, high-need",MOUNTJOY B,DUBLIN CITY,4890668122,5.516237894736842,5.608146666666666,3.835200000000001,0.9740154283394235,0.014514819326025163,"Well-served, high-need",0.7545676004872107,0.2339626471782379,"Well-served, high-need",0.9614291514413317,0.02710109622411694,"Well-served, high-need",False,False,False,False,0
268020003,0.4780755176613885,0.1458333333333333,Low-priority gap,BALLYMUN F,DUBLIN CITY,2682639435,25.13526424242425,7.236546666666667,14.2544,0.28907835972391394,0.18899715793747457,Low-priority gap,0.6122614697523345,-0.13418595209094603,"Well-served, low-need",0.6319529029638652,-0.1538773853024767,"Well-served, low-need",False,False,False,False,0
268129016,0.4827446203816484,0.1484375,Low-priority gap,RATHMINES EAST B,DUBLIN CITY,259594847,12.92148,5.238439999999999,20.36358607843137,0.796386520503451,-0.31364190012180265,"Well-served, low-need",0.7854242793341454,-0.302679658952497,"Well-served, low-need",0.40925700365408035,0.07348761672756804,Low-priority gap,False,False,False,False,0
268119010,0.7930369468128299,0.3170731707317073,Transit Desert,PRIORSWOOD C,DUBLIN CITY,4523227747,17.66142666666667,10.601426666666663,17.654739999999993,0.6008932196508323,0.19214372716199757,"Well-served, high-need",0.3302882663418595,0.4627486804709704,Transit Desert,0.503248071457572,0.2897888753552579,"Well-served, high-need",True,False,True,False,2
267048004,0.3198335363377994,0.0869565217391304,Low-priority gap,CLONDALKIN-CAPPAGHMORE,SOUTH DUBLIN,13283045445,34.065920000000006,22.69576,29.62168666666667,0.11205846528623631,0.20777507105156306,Low-priority gap,0.020097442143727107,0.29973609419407227,Low-priority gap,0.1567194478278522,0.16311408850994719,Low-priority gap,False,False,False,False,0
267100062,0.067092976045473,0.0219780219780219,"Well-served, low-need",LUCAN-ESKER,SOUTH DUBLIN,11380030090,17.870066666666666,10.71212,22.4714,0.5921640276086073,-0.5250710515631343,"Well-served, low-need",0.32196508323183115,-0.25487210718635817,Low-priority gap,0.34449857896873726,-0.27740560292326427,Low-priority gap,False,False,False,False,0
267104020,0.0832318311002842,0.0258620689655172,Low-priority gap,LUSK,FINGAL,366669520,52.0139789473684,16.588133333333335,45.412965614035066,0.03308972797401544,0.05014210312626877,Low-priority gap,0.07145757206658543,0.011774259033698775,Low-priority gap,0.03471376370280144,0.04851806739748277,Low-priority gap,False,False,False,False,0
268003011,0.953613479496549,0.5490196078431373,"Well-served, high-need",ARRAN QUAY C,DUBLIN CITY,130234348,7.128546666666667,3.72796,8.567239999999996,0.9569630531871701,-0.003349573690621166,"Well-served, high-need",0.8958587088915956,0.057754770604953376,"Well-served, high-need",0.8447015834348356,0.10891189606171336,"Well-served, high-need",False,False,False,False,0
268100016,0.9843686561104344,0.6504854368932039,"Well-served, high-need",MERCHANTS QUAY C,DUBLIN CITY,344793280,6.245173333333335,3.8779066666666666,4.42744,0.9673162809581811,0.01705237515225333,"Well-served, high-need",0.8853024766544864,0.09906617945594809,"Well-served, high-need",0.9492488834754365,0.03511977263499799,"Well-served, high-need",False,False,False,False,0
267132040,0.2159967519285424,0.059322033898305,Low-priority gap,SWORDS-FORREST,FINGAL,4843267231,35.61988561403509,9.46404,28.191058947368425,0.0943970767356882,0.1215996751928542,Low-priority gap,0.41250507511165246,-0.19650832318311007,Low-priority gap,0.18757612667478685,0.02842062525375555,Low-priority gap,False,False,False,False,0
268041003,0.5241575314656922,0.1666666666666666,"Well-served, high-need",CLONTARF EAST A,DUBLIN CITY,2062509221,12.780333333333337,9.590506666666668,14.242342564102566,0.805927730410069,-0.2817701989443768,"Well-served, high-need",0.400933820544052,0.1232237109216402,Transit Desert,0.6329679252943565,-0.10881039382866431,"Well-served, high-need",False,False,True,False,1
268140015,0.7695899309784815,0.3009708737864077,"Well-served, high-need",ROYAL EXCHANGE A,DUBLIN CITY,550879545,10.004587801418442,11.449547801418444,2.8158,0.8989037758830695,-0.12931384490458797,"Well-served, high-need",0.2712139667072676,0.4983759642712139,Transit Desert,0.9786845310596833,-0.20909460008120184,"Well-served, high-need",False,False,True,False,1
267041014,0.6171335769386926,0.2121212121212121,"Well-served, high-need",CASTLEKNOCK-PARK,FINGAL,5173016587,20.563711794871796,13.92789333333334,18.95916512820513,0.46833130328867234,0.1488022736500203,Transit Desert,0.14677222898903775,0.4703613479496549,Transit Desert,0.45493300852618757,0.16220056841250508,Transit Desert,False,True,True,True,3
268048005,0.8509947218838815,0.3647058823529411,"Well-served, high-need",CLONTARF WEST C,DUBLIN CITY,2418028172,10.655790196078431,10.3183768627451,9.090243529411763,0.8790093382054405,-0.028014616321558994,"Well-served, high-need",0.3503857084855867,0.5006090133982948,Transit Desert,0.8278522127486805,0.023142509135200995,"Well-served, high-need",False,False,True,False,1
