SA_PUB2022,walk_node_id,nearest_hospital_min,nearest_school_min,nearest_university_min
268010004,699457906,7.706811228070176,5.689506666666666,4.088146666666668
268146004,2377422637,23.416571954022988,13.32029333333333,19.175310804597704
268027001,1422409186,10.200786666666666,7.058706666666667,10.887066666666666
267040028,12974087291,30.626745555555544,5.572786666666665,29.686385555555546
267103012/02,9773701888,26.30876463768116,1.77104,30.91009797101449
268072013/06,11159901813,25.12894666666667,13.018186666666663,25.944659047619044
268105013,479669427,10.223106666666666,8.2974,6.462293333333334
267085001,292494246,28.14986666666668,14.542479999999994,29.039129855072456
268056002,2864127426,10.388637894736842,9.251626666666668,19.33612848484849
268082010,10249513890,12.08918666666667,7.091106666666666,7.594919999999999
267098004,6323432180,45.62532,3.478453333333334,33.973746666666656
267128008,8397416112,16.399577777777782,11.521519999999997,14.920999999999998
267029013/02,5330140827,12.517137276995307,6.960097276995304,15.982083943661973
268136002,600567222,13.373946666666665,5.76236,18.576486327683615
267041017,5183398272,21.47949846153846,12.695800000000004,19.874951794871794
268117016,12177699345,6.235826666666665,2.06176,1.69656
267004011/01,11278329443,35.62977777777778,8.306373333333333,18.42549333333334
267160005,2443612610,19.417019574468085,13.814459574468088,16.555392907801423
267069001/09,11974236218,16.16736927536232,8.74772,15.891009275362318
268002003,8905140622,9.275506666666669,3.3902933333333336,8.126613333333331
268115008,3371068746,11.021958974358972,8.824798974358973,6.174678974358973
267092026/01/267092026/267092050,12448290468,26.74097057471265,17.538266666666665,15.989893333333333
268042018,1426961534,16.279040000000002,7.847386666666667,23.479398095238093
267132007,12580436067,30.08385948717949,13.88944615384615,22.655032820512822
267133017,296511112,43.16866000000002,2.8214533333333325,35.2657
268139002,11506858047,3.4060266666666665,4.629906666666667,3.5612399999999997
267085018,4863918827,29.72102175438596,8.438786666666667,31.142239999999994
268030021,5243890469,10.72030787878788,5.568786666666667,9.115761212121212
268022001,26389404,12.424493333333334,7.373200000000001,13.798453333333335
268081002,938924430,0.9576133333333332,3.5130602898550722,4.596393623188406
267110008,253511232,34.48674008658009,13.068853333333333,27.88572675324676
268047009,2758274158,13.145865388127854,6.461386666666667,9.630788421052632
267022004,3227845445,16.300887380952386,12.660870476190478,9.869746666666668
268098001,2395258298,10.7368816374269,5.858386666666667,1.960346666666667
267092021/01,9528581090,38.300259999999994,3.0330533333333336,40.14688666666665
267002002/02,5534079626,53.87670476190475,2.8602133333333333,47.2756914285714
267020005,6681749358,30.385658039215684,12.894133333333336,23.464693333333333
267092045,1281476760,18.975290574712638,15.011650574712645,16.831026666666666
267085012,7820927482,25.905326666666664,15.744531594202897,28.22390492753623
268149002,8676602129,13.609346666666662,8.3656,6.81156
267092028,412129168,36.16665333333333,20.226200000000002,38.013279999999995
267100042,11878613648,23.693183655913984,10.447466666666667,26.55444936170213
268087003,2516833439,10.633026666666666,12.831626666666669,10.631720000000001
267028019,6191759916,24.988790769230786,9.512613333333332,30.058491954022987
268100011,10649675996,10.281455238095237,4.18444,8.184426666666669
267147008/02,6231449742,15.708440000000005,11.471613333333332,8.36601333333333
268060004/02,6330512051,11.72395420289855,4.919453333333333,7.547786666666665
268132003/02,14023152520,17.613942222222217,5.131586666666666,14.3742
268101007,10609112923,6.311106666666665,2.2650666666666672,2.8146000000000004
267021007,3652923221,12.14726285714286,10.313799999999997,8.129399999999999
268023007,3479251652,16.051351812865494,13.492439999999998,16.621479365079363
