SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination
267157007,8633054630,47.96129523809524,47.46047272727273,56.35941333333334,70.72776865319865,67.50491118881118,36.24294793650793,36.24294793650793,Tallaght_min
267132002,300738968,58.02225614035087,53.96958947368419,94.09584280701753,50.05566947368418,66.62602666666668,84.41276947368424,50.05566947368418,Dublin_Airport_min
267137002,4874041303,44.1102,42.56081333333334,62.78472,60.43304431372551,54.02503846153844,24.246962051282058,24.246962051282058,Tallaght_min
267099033,6018353588,41.506546666666665,32.60614666666667,73.23240000000001,40.14222666666668,70.17410666666667,74.49932666666668,32.60614666666667,IFSC___Docklands_min
267053011,8988554489,46.447653333333356,44.898266666666686,77.06468888888888,68.16556259259261,50.49535750915753,37.49609333333333,37.49609333333333,Tallaght_min
268078012,7392125695,21.789925490196076,20.24053882352941,56.83544062247121,43.50783474945534,41.672338823529415,37.514680000000006,20.24053882352941,IFSC___Docklands_min
267024001,658116675,40.15492380952381,39.09258848472532,34.826190476190476,62.35988441065126,64.84007047619048,67.28471047619047,34.826190476190476,Sandyford_Business_District_min
267028091,353115356,38.11891215022251,39.68399057057057,72.63477457446493,61.8844061261261,30.280346086956524,67.48882608695651,30.280346086956524,Blanchardstown_min
268011005,4264983838,27.721892075471708,31.826625408805043,62.5694611663808,32.56920688172044,40.702757575757595,71.51421460992907,27.721892075471708,Dublin_City_Centre_(CBD)_min
268119013/268119014,297567440,36.27712836601305,38.90167503267972,72.16126169934638,48.29739098039215,62.98925037514547,72.30396666666665,36.27712836601305,Dublin_City_Centre_(CBD)_min
267099006,2365684195,31.190913333333338,22.29051333333334,62.916766666666675,38.904804848484865,59.91955446808511,68.65643999999999,22.29051333333334,IFSC___Docklands_min
268158012,2374889708,24.08019770114943,30.619891034482766,58.59606012539184,32.6575095652174,42.09333846153846,58.33530794326241,24.08019770114943,Dublin_City_Centre_(CBD)_min
268135004,12051608188,25.952153005464485,28.405499672131153,38.925778113689596,51.67279559805707,52.803966338797814,33.213219607843136,25.952153005464485,Dublin_City_Centre_(CBD)_min
