SA_PUB2022,walk_node_id,Dublin_City_Centre_(CBD)_min,IFSC___Docklands_min,Sandyford_Business_District_min,Dublin_Airport_min,Blanchardstown_min,Tallaght_min,min_travel_time_min,nearest_destination,T15_1_NC,T15_1_TC,no_car_rate,ED_ID_STR,ED_ENGLISH,COUNTY_ENGLISH,ed_deprivation_score,ed_deprivation_category,need_percentile,access_percentile,quadrant,desert_severity_index
268110009,336175859,22.05035942028986,18.119675862068966,44.18477696969696,36.25016623243934,48.90217275362318,58.22897275362318,18.119675862068966,IFSC___Docklands_min,56,100,0.56,268110,PEMBROKE EAST A,DUBLIN CITY,0.03,Marginally Above Average,0.9588915956151035,0.8790093382054405,"Well-served, high-need",0.07988225740966304
267028009,717063452,33.711308965517254,36.63270896551726,70.85896229885056,56.33070134646962,21.925668965517243,59.13414896551724,21.925668965517243,Blanchardstown_min,13,105,0.12380952380952381,267028,BLANCHARDSTOWN-BLAKESTOWN,FINGAL,3.06,Marginally Above Average,0.4245838408444986,0.7821762078765733,"Well-served, low-need",-0.3575923670320747
268024001,247645359,25.12228497512439,27.746831641791054,61.0064183084577,39.619163333333326,50.99551,70.1361512765957,25.12228497512439,Dublin_City_Centre_(CBD)_min,13,104,0.125,268024,BEAUMONT D,DUBLIN CITY,1.61,Marginally Above Average,0.4283394234673163,0.6664636622005684,"Well-served, low-need",-0.2381242387332521
268153012,3089005870,16.584962937853106,16.40497627118644,52.94789627118644,39.67227219711237,38.67518620382732,41.72919228070175,16.40497627118644,IFSC___Docklands_min,62,106,0.5849056603773585,268153,USHERS F,DUBLIN CITY,1.93,Marginally Above Average,0.9681282988225741,0.9068209500609014,"Well-served, high-need",0.061307348761672764
267053008,8988554446,44.93906666666668,43.38968000000001,72.72551999999999,66.65697592592593,45.93423750915752,33.441120000000005,33.441120000000005,Tallaght_min,12,94,0.1276595744680851,267053,CLONDALKIN VILLAGE,SOUTH DUBLIN,-2.61,Marginally Below Average,0.4355460820138043,0.3215590742996346,Low-priority gap,0.1139870077141697
268017014,2424875156,30.0850987755102,34.02695477886978,64.9326678664193,27.8629035897436,39.17445877551022,68.89843338543929,27.8629035897436,Dublin_Airport_min,47,110,0.42727272727272725,268017,BALLYMUN C,DUBLIN CITY,-15.85,Disadvantaged,0.8985992691839221,0.5621193666260658,"Well-served, high-need",0.3364799025578563
268071024/04,10276931445,47.207862222222246,49.22827253861003,79.26465366883119,56.66195428571428,70.87501636243385,84.55437999999997,47.207862222222246,Dublin_City_Centre_(CBD)_min,4,97,0.041237113402061855,268071,GRANGE A,DUBLIN CITY,3.18,Marginally Above Average,0.14433617539585872,0.0663824604141291,Low-priority gap,0.07795371498172962
267020006,193302999,39.68532701754385,38.54067800853485,31.10358666666667,61.807973934460776,64.70028952380952,60.64544,31.10358666666667,Sandyford_Business_District_min,7,124,0.056451612903225805,267020,BLACKROCK-CARYSFORT,DUN LAOGHAIRE/RATHDOWN,11.11,Affluent,0.20625253755582623,0.4190012180267966,Low-priority gap,-0.21274868047097034
267079012,13477873547,34.3009914893617,40.91255626923592,21.249785299145305,64.17985219516186,62.87831262411349,46.84994666666666,21.249785299145305,Sandyford_Business_District_min,10,104,0.09615384615384616,267079,DUNDRUM-KILMACUD,DUN LAOGHAIRE/RATHDOWN,13.68,Affluent,0.3454120990661795,0.8049127080795777,"Well-served, low-need",-0.45950060901339823
267003008,2383129734,58.44960102564102,49.01586769230769,88.27545435897433,62.60194769230769,83.77588148148143,95.91512769230766,49.01586769230769,IFSC___Docklands_min,32,124,0.25806451612903225,267003,BALBRIGGAN URBAN,FINGAL,-4.7,Marginally Below Average,0.6944782785221275,0.057247259439707654,Transit Desert,0.6372310190824199
