table_name,field_name,language,translation,record_id,field_value
stops,stop_name,ga,An Baile Gaelach,8340LL11638,
stops,stop_name,ga,An Baile Gallda,826000060,
stops,stop_name,ga,An Baile Gallda,826000062,
stops,stop_name,ga,An Baile Gallda,8380B2318201,
stops,stop_name,ga,An Baile Gallda,8380B235211,
stops,stop_name,ga,An Baile Glas,8330LL14228,
stops,stop_name,ga,An Baile Glas,849000155,
stops,stop_name,ga,An Baile Glas,8490PB14618,
stops,stop_name,ga,An Baile Mór,8260DB007289,
stops,stop_name,ga,An Baile Mór,8260LL12096,
stops,stop_name,ga,An Baile Mór,8470B3344501,
stops,stop_name,ga,An Baile Mór,8470B3344502,
stops,stop_name,ga,An Baile Mór Thiar,8330B5534001,
stops,stop_name,ga,An Baile Mór Thiar,8330B5534002,
stops,stop_name,ga,An Baile Mór Thiar,8330B553461,
stops,stop_name,ga,An Baile Mór Thoir,8330LL00003,
stops,stop_name,ga,An Baile Mór Thoir,8330LL00010,
stops,stop_name,ga,An Baile Nua,7060B157111,
stops,stop_name,ga,An Baile Nua,7060B1581001,
stops,stop_name,ga,An Baile Nua,8250DB003506,
stops,stop_name,ga,An Baile Nua,8260LL12224,
stops,stop_name,ga,An Baile Nua,8260LL12225,
stops,stop_name,ga,An Baile Nua,8420B3327201,
stops,stop_name,ga,An Baile Nua,8420B3375701,
stops,stop_name,ga,An Baile Nua,845000054,
stops,stop_name,ga,An Baile Nua,8530B1581501,
stops,stop_name,ga,An Baile Nua,8530B158191,
stops,stop_name,ga,An Baile Nua Thudh,853000128,
stops,stop_name,ga,An Baile Nua Thudh,8530LL12204,
stops,stop_name,ga,An Baile Nua Thudh,8530LL12205,
stops,stop_name,ga,An Baile Nua Thudh,8530PB14701,
stops,stop_name,ga,An Baile Seoirseach,8400B6086601,
stops,stop_name,ga,An Baile Tarsna,8340LL11394,
stops,stop_name,ga,An Baile Tarsna,8340LL14003,
stops,stop_name,ga,An Baile Tarsna,841000126,
stops,stop_name,ga,An Baile Tarsna,8410PB14354,
stops,stop_name,ga,An Baile Úr,8510B556201,
stops,stop_name,ga,An Ballán,847000153,
stops,stop_name,ga,An Ballán,8470LL14255,
stops,stop_name,ga,An Ballán,8470LL14274,
stops,stop_name,ga,An Ballán,8470PB14393,
stops,stop_name,ga,An Bán Ard,8380B2307001,
stops,stop_name,ga,An Bán Ard,8380B277351,
